,id,full_name,first_name,last_name,is_active
0,1630173,Precious Achiuwa,Precious,Achiuwa,True
1,203500,Steven Adams,Steven,Adams,True
2,1628389,Bam Adebayo,Bam,Adebayo,True
3,1630534,Ochai Agbaji,Ochai,Agbaji,True
4,1630583,Santi Aldama,Santi,Aldama,True
5,1641725,Trey Alexander,Trey,Alexander,True
6,1629638,Nickeil Alexander-Walker,Nickeil,Alexander-Walker,True
7,1628960,Grayson Allen,Grayson,Allen,True
8,1628386,Jarrett Allen,Jarrett,Allen,True
9,1630631,Jose Alvarado,Jose,Alvarado,True
10,203937,Kyle Anderson,Kyle,Anderson,True
11,1630828,Alex Antetokounmpo,Alex,Antetokounmpo,True
12,203507,Giannis Antetokounmpo,Giannis,Antetokounmpo,True
13,203648,Thanasis Antetokounmpo,Thanasis,Antetokounmpo,True
14,1630175,Cole Anthony,Cole,Anthony,True
15,1628384,OG Anunoby,OG,Anunoby,True
16,1630166,Deni Avdija,Deni,Avdija,True
17,1629028,Deandre Ayton,Deandre,Ayton,True
18,1628963,Marvin Bagley III,Marvin,Bagley III,True
19,1642846,Ace Bailey,Ace,Bailey,True
20,1630163,LaMelo Ball,LaMelo,Ball,True
21,1628366,Lonzo Ball,Lonzo,Ball,True
22,1631094,Paolo Banchero,Paolo,Banchero,True
23,1630217,Desmond Bane,Desmond,Bane,True
24,1631230,Dominick Barlow,Dominick,Barlow,True
25,203084,Harrison Barnes,Harrison,Barnes,True
26,1630567,Scottie Barnes,Scottie,Barnes,True
27,1642964,Brooks Barnhizer,Brooks,Barnhizer,True
28,1629628,RJ Barrett,RJ,Barrett,True
29,1629646,Charles Bassey,Charles,Bassey,True
30,1642926,Tamar Bates,Tamar,Bates,True
31,1642419,Jamison Battle,Jamison,Battle,True
32,201587,Nicolas Batum,Nicolas,Batum,True
33,203078,Bradley Beal,Bradley,Beal,True
34,1642866,Joan Beringer,Joan,Beringer,True
35,1630180,Saddiq Bey,Saddiq,Bey,True
36,1629048,Goga Bitadze,Goga,Bitadze,True
37,202687,Bismack Biyombo,Bismack,Biyombo,True
38,1641710,Anthony Black,Anthony,Black,True
39,203992,Bogdan Bogdanović,Bogdan,Bogdanović,True
40,1641737,Adem Bona,Adem,Bona,True
41,1626164,Devin Booker,Devin,Booker,True
42,1628449,Chris Boucher,Chris,Boucher,True
43,1628396,Tony Bradley,Tony,Bradley,True
44,1631103,Malaki Branham,Malaki,Branham,True
45,1631128,Christian Braun,Christian,Braun,True
46,1642886,Koby Brea,Koby,Brea,True
47,1628969,Mikal Bridges,Mikal,Bridges,True
48,1628970,Miles Bridges,Miles,Bridges,True
49,1628415,Dillon Brooks,Dillon,Brooks,True
50,1641780,Johni Broome,Johni,Broome,True
51,1628971,Bruce Brown,Bruce,Brown,True
52,1627759,Jaylen Brown,Jaylen,Brown,True
53,1641738,Kobe Brown,Kobe,Brown,True
54,1628973,Jalen Brunson,Jalen,Brunson,True
55,1642868,Carter Bryant,Carter,Bryant,True
56,1628418,Thomas Bryant,Thomas,Bryant,True
57,202710,Jimmy Butler III,Jimmy,Butler III,True
58,1641824,Matas Buzelis,Matas,Buzelis,True
59,1631288,Jamal Cain,Jamal,Cain,True
60,203484,Kentavious Caldwell-Pope,Kentavious,Caldwell-Pope,True
61,1641739,Toumani Camara,Toumani,Camara,True
62,203991,Clint Capela,Clint,Capela,True
63,1642928,Dylan Cardwell,Dylan,Cardwell,True
64,1642382,Branden Carlson,Branden,Carlson,True
65,1642267,Bub Carrington,Bub,Carrington,True
66,1642269,Devin Carter,Devin,Carter,True
67,1628975,Jevon Carter,Jevon,Carter,True
68,1628976,Wendell Carter Jr.,Wendell,Carter Jr.,True
69,1627936,Alex Caruso,Alex,Caruso,True
70,1642264,Stephon Castle,Stephon,Castle,True
71,1630658,Colin Castleton,Colin,Castleton,True
72,1630577,Julian Champagnie,Julian,Champagnie,True
73,1630551,Justin Champagnie,Justin,Champagnie,True
74,1642353,Cam Christie,Cam,Christie,True
75,1631108,Max Christie,Max,Christie,True
76,1630619,Moussa Cisse,Moussa,Cisse,True
77,1631321,Sidy Cissoko,Sidy,Cissoko,True
78,1641740,Jaylen Clark,Jaylen,Clark,True
79,1629634,Brandon Clarke,Brandon,Clarke,True
80,203903,Jordan Clarkson,Jordan,Clarkson,True
81,1629651,Nic Claxton,Nic,Claxton,True
82,1642383,Walter Clayton Jr.,Walter,Clayton Jr.,True
83,1642363,Nique Clifford,Nique,Clifford,True
84,1642270,Donovan Clingan,Donovan,Clingan,True
85,1641730,Noah Clowney,Noah,Clowney,True
86,1629599,Amir Coffey,Amir,Coffey,True
87,1642268,Isaiah Collier,Isaiah,Collier,True
88,1628381,John Collins,John,Collins,True
89,1628380,Zach Collins,Zach,Collins,True
90,201144,Mike Conley,Mike,Conley,True
91,1626192,Pat Connaughton,Pat,Connaughton,True
92,1631451,Javonte Cooke,Javonte,Cooke,True
93,1630536,Sharife Cooper,Sharife,Cooper,True
94,1641731,Bilal Coulibaly,Bilal,Coulibaly,True
95,1642907,Cedric Coward,Cedric,Coward,True
96,1642384,Isaiah Crawford,Isaiah,Crawford,True
97,1630595,Cade Cunningham,Cade,Cunningham,True
98,201939,Stephen Curry,Stephen,Curry,True
99,1642359,Pacôme Dadiet,Pacôme,Dadiet,True
100,1630700,Dyson Daniels,Dyson,Daniels,True
101,1642368,N'Faly Dante,N'Faly,Dante,True
102,203076,Anthony Davis,Anthony,Davis,True
103,1631120,JD Davison,JD,Davison,True
104,201942,DeMar DeRozan,DeMar,DeRozan,True
