personId,firstName,lastName,birthdate,lastAttended,country,height,bodyWeight,guard,forward,center,draftYear,draftRound,draftNumber
196294611,Olivinha,,,,,,,,,,,,
43217,Olivinha,,,,,,,,,,,,
196294534,Alberto,Abalde,,,,,,,,,,,
76001,Alaa,Abdelnaby,6/24/68,Duke,USA,82,240,FALSE,TRUE,FALSE,1990,1,25
76002,Zaid,Abdul-Aziz,4/7/46,Iowa State,USA,81,76002,FALSE,FALSE,TRUE,1968,1,5
76003,Kareem,Abdul-Jabbar,4/16/47,UCLA,USA,86,225,FALSE,FALSE,TRUE,1969,1,1
51,Mahmoud,Abdul-Rauf,3/9/69,Louisiana State,USA,73,51,TRUE,FALSE,FALSE,1990,1,3
1505,Tariq,Abdul-Wahad,11/3/74,San Jose State,France,78,235,TRUE,TRUE,FALSE,1997,1,11
949,Shareef,Abdur-Rahim,12/11/76,California,USA,81,245,FALSE,TRUE,FALSE,1996,1,3
1627114,Tom,Abercrombie,,,,,,,,,,,
196294573,Tom,Abercrombie,,,,,,FALSE,TRUE,FALSE,,,
76005,Tom,Abernethy,5/6/54,Indiana,USA,79,220,FALSE,TRUE,FALSE,1976,3,43
582,Mustafa,Abi,,,,,,,,,,,
76006,Forest,Able,7/27/32,Western Kentucky,USA,75,180,TRUE,FALSE,FALSE,1956,,
1630546,Max,Abmas,,,,,,,,,,,
76007,John,Abramovic,2/9/19,Salem,USA,75,195,FALSE,TRUE,FALSE,-1,-1,-1
203518,Alex,Abrines,8/1/93,FC Barcelona,Spain,78,200,TRUE,FALSE,FALSE,2013,2,32
56017,Alex,Abrines,,,,,,,,,,,
1630173,Precious,Achiuwa,,,,,,FALSE,TRUE,FALSE,,,
101165,Alex,Acker,1/21/83,Pepperdine,USA,77,185,TRUE,FALSE,FALSE,2005,2,60
76008,Donald,Ackerman,9/4/30,Long Island-Brooklyn,USA,72,183,TRUE,FALSE,FALSE,1953,2,
76009,Mark,Acres,11/15/62,Oral Roberts,USA,83,220,FALSE,FALSE,TRUE,1985,2,40
76010,Charles,Acton,1/11/42,Hillsdale,USA,78,210,FALSE,TRUE,FALSE,-1,-1,-1
196294104,Deng,Acuoth,,,,,,,,,,,
64058,Deng,Acuoth,,,,,,,,,,,
203112,Quincy,Acy,10/6/90,Baylor,USA,79,240,FALSE,TRUE,FALSE,2012,2,37
76011,Alvan,Adams,7/19/54,Oklahoma,USA,81,210,FALSE,FALSE,TRUE,1975,1,4
76012,Don,Adams,11/27/47,Northwestern,USA,79,210,FALSE,TRUE,FALSE,1970,8,120
200801,Hassan,Adams,6/20/84,Arizona,USA,76,220,FALSE,TRUE,FALSE,2006,2,54
1629824,Jalen,Adams,,,,,,,,,,,
1629121,Jaylen,Adams,5/4/96,St. Bonaventure,USA,72,225,TRUE,FALSE,FALSE,-1,-1,-1
203919,Jordan,Adams,7/8/94,UCLA,USA,77,209,TRUE,FALSE,FALSE,2014,1,22
149,Michael,Adams,1/19/63,Boston College,USA,70,165,TRUE,FALSE,FALSE,1985,3,66
203500,Steven,Adams,,,,,,FALSE,FALSE,TRUE,,,
912,Rafael,Addison,7/22/64,Syracuse,USA,80,241,FALSE,TRUE,FALSE,1986,2,39
1628389,Bam,Adebayo,,,,,,FALSE,FALSE,FALSE,,,
1629061,Deng,Adel,2/1/97,Louisville,South Sudan,79,200,FALSE,TRUE,FALSE,2018,,
200846,Kenny,Adeleke,,,,,,,,,,,
76015,Rick,Adelman,6/16/46,Loyola-Marymount,USA,74,175,TRUE,FALSE,FALSE,1968,7,79
27025,Kyle,Adnam,,,,,,,,,,,
64049,Kyle,Adnam,,,,,,,,,,,
196294137,Jeff,Adrien,,,,,,,,,,,
202399,Jeff,Adrien,2/10/86,Connecticut,USA,,,,,,-1,-1,-1
201167,Arron,Afflalo,10/15/85,UCLA,USA,77,210,TRUE,FALSE,FALSE,2007,1,27
1630534,Ochai,Agbaji,4/20/00,Kansas,USA,77,215,TRUE,FALSE,FALSE,2022,1,14
200772,Maurice,Ager,2/9/84,Michigan State,USA,77,202,TRUE,TRUE,FALSE,2006,1,28
1962936108,Pablo,Aguilar,,,,,,,,,,,
203196,Ronnie,Aguilar,,,,,,,,,,,
1966938162,Gustavo,Aguirre,,,,,,TRUE,FALSE,FALSE,,,
76016,Mark,Aguirre,12/10/59,DePaul,USA,78,232,FALSE,TRUE,FALSE,1981,1,1
52600,Gustavo Nicolas,Agurre,,,,,,FALSE,FALSE,FALSE,,,
201336,Blake,Ahearn,5/27/84,Missouri State,USA,74,190,TRUE,FALSE,FALSE,-1,-1,-1
76017,Danny,Ainge,3/17/59,Brigham Young,USA,77,76017,TRUE,FALSE,FALSE,1981,2,31
201582,Alexis,Ajinca,5/6/88,Hyeres-Toulon,France,86,248,FALSE,FALSE,TRUE,2008,1,20
76018,Henry,Akin,7/31/44,Morehead State,USA,82,225,FALSE,FALSE,TRUE,1966,2,11
101224,Deji,Akindele,,,,,,,,,,,
200836,Akin,Akingbala,,,,,,,,,,,
1631231,James,Akinjo,11/27/00,Baylor,USA,,1631231,FALSE,FALSE,FALSE,-22,-22,-22
1962937763,Josh,Akognon,,,,,,FALSE,FALSE,FALSE,,,
203006,Josh,Akognon,2/10/86,California State-Fullerton,USA,71,203006,TRUE,FALSE,FALSE,-22,-22,-22
203191,Josh,Akognon,,,,,,,,,,,
1629152,DeVaughn,Akoon-Purcell,6/5/93,Illinois State,Trinidad and Tobago,78,200,TRUE,TRUE,FALSE,2016,,
574,Cenk,Akyol,,,,,,,,,,,
202374,Solomon,Alabi,3/21/88,Florida State,Nigeria,85,252,FALSE,FALSE,TRUE,2010,2,50
76019,Mark,Alarie,12/11/63,Duke,USA,80,217,FALSE,TRUE,FALSE,1986,1,18
196294581,Eidan,Alber,,,,,,,,,,,
1966938138,Augusto,Alcassa,,,,,,,,,,,
76020,Gary,Alcorn,10/8/36,Fresno State,USA,81,225,FALSE,FALSE,TRUE,1959,3,16
1630583,Santi,Aldama,,,,,,FALSE,TRUE,FALSE,,,
203128,Furkan,Aldemir,8/9/91,Galatasaray,Turkey,82,240,FALSE,TRUE,TRUE,2012,2,53
202332,Cole,Aldrich,10/31/88,Kansas,USA,83,253,FALSE,FALSE,TRUE,2010,1,11
200746,LaMarcus,Aldridge,7/19/85,University of Texas at Austin,USA,83,250,FALSE,TRUE,TRUE,2006,1,2
76021,Chuck,Aleksinas,2/26/59,Connecticut,USA,83,76021,FALSE,FALSE,TRUE,1982,4,76
